Model,Target,RMSE,MAE,R2
XGBoost,max_height,1.452705540433536,0.6090438278642832,0.9180665086847876
Gradient Boost,max_height,1.9091888930400893,0.700459868269735,0.8584844792775391
Random Forest,max_height,2.0155085435972935,0.6998175651516602,0.8422840695806392
MLP,max_height,2.4511771982300337,1.1783458836399294,0.7667317176565335
Decision Tree,max_height,2.779612099747539,1.0988950845944796,0.7000321830436975
Ridge,max_height,3.531449866693929,2.0776858916812504,0.5158138459665587
Linear Regression,max_height,3.531955232699303,2.106751512059026,0.5156752577153001
Lasso,max_height,4.252827802168154,2.468745117318246,0.29779830689477427
SVR,max_height,4.401461651312414,1.9046725359565102,0.2478575158800851
XGBoost,range,2.7661209224761256,1.0117946993539975,0.959090011334688
Gradient Boost,range,2.8458214575283227,1.086206781283172,0.9566985603927434
Random Forest,range,3.593529067120956,1.2506631375034016,0.9309554568791564
Decision Tree,range,5.109011776311447,1.80956263227307,0.8604400377096741
MLP,range,9.545277740963881,5.208831626779595,0.5128483528700238
Linear Regression,range,9.624268896814476,5.530580756807894,0.504752225227314
Ridge,range,9.625240014555807,5.35499943694072,0.5046522761984709
Lasso,range,11.687875552998578,6.512900781154976,0.26960432390655054
SVR,range,13.471079869410653,6.712307089796047,0.02973166547517747
Random Forest,time,0.8368991927024835,0.2186418055556235,0.23927856055200236
Gradient Boost,time,0.8516753471288995,0.18108059200162,0.21217907687818038
Ridge,time,0.9576780011043876,0.427077585092233,0.003864584126625714
Lasso,time,0.9586204026748046,0.32286685302256934,0.001903128456457348
SVR,time,0.9595801361243169,0.21304198368281071,-9.638346794083041e-05
Linear Regression,time,0.9597687435579716,0.4369198124996535,-0.0004895640738455942
MLP,time,1.0324248802781932,0.6067949002739893,-0.15770066386646642
XGBoost,time,1.0738953174702512,0.22794906552636238,-0.2525736050383891
Decision Tree,time,1.3119858450603514,0.19997916666681076,-0.8695524653559246
